Razón social;Nombre de establecimiento;ID establecimiento (VU);CIIU4;Rubro RETC;Ducto;Tipo de Contaminante;Emisión (toneladas);Año;Norma;Región;Provincia;Comuna;Huso;Coordenada norte;Coordenada este
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Xileno;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Níquel;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Tetracloroeteno;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Triclorometano;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
AGROINDUSTRIAL PEDREGAL SOCIEDAD ANONIMA;AGROPEL;5463058;ELABORACIÓN DE PRODUCTOS DE MOLINERÍA;Industria agropecuaria y silvicultura;719;Selenio;7,47E-07;2017;DS46/2002 del MINSEGPRES;Araucanía;Cautín;Lautaro;18.0;5732472.0;725147.0
GNL QUINTERO SA;TERMINAL MARITIMO GNL QUINTERO;5441802;"FABRICACIÓN DE GAS; DISTRIBUCIÓN DE COMBUSTIBLES GASEOSOS POR TUBERÍAS";Combustibles;318;Índice de fenol;7,13E-07;2017;DS90/2000 del MINSEGPRES;Valparaíso;Valparaíso;Quintero;19.0;6370966.0;266673.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Tolueno / metil benceno / Toluol / Fenilmetano;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Xileno;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
LACTEOS OSORNO LIMITADA;LACTEOS OSORNO LTDA;5462748;ELABORACIÓN DE PRODUCTOS LÁCTEOS;Producción de alimentos;860;Triclorometano;7,04E-07;2017;DS90/2000 del MINSEGPRES;Los Lagos;Osorno;Osorno;18.0;5511028.0;656675.0
SALMONES ANTARTICA S A;PISCICULTURA COREO;4585854;"EXPLOTACIÓN DE CRIADEROS DE PECES Y PRODUCTOS DEL MAR EN GENERAL (ACUICULTURA); Y SERVICIOS RELACIONADOS";Pesca;440;Cromo hexavalente;7,04E-07;2017;DS90/2000 del MINSEGPRES;Biobío;Biobío;Los Angeles;18.0;5840597.0;746921.0
